ALL CYLINDRICAL PLC BACKUP,,,,,,,,,,,
,,,,,,,,,,,
,,,,,PC I/F,,PLC I/F,,CCIE or MNET/H,,
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 CAN INSERT,Q13UDVCPU,107.103.47.203,,,-,-,-,15,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 (-) TAB WELDING AND SWAGE,Q13UDVCPU,107.103.47.204,,,-,-,-,3,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 TI INSERT,Q13UDVCPU,107.103.47.205,,,-,-,-,4,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 BEADING SHORT,Q13UDVCPU,107.103.47.206,,,-,-,-,5,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 X-RAY,Q13UDVCPU,107.103.47.207,8,2,8,1,-,6,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 EL FILLING PLC#1,Q13UDVCPU,107.103.47.208,,,-,-,-,7,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 EL FILLING PLC#2,Q13UDVCPU,107.103.47.208,,,-,-,-,7,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 (+) TAB WELDING,Q13UDVCPU,107.103.47.209,,,-,-,-,8,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 CRIMPING,Q13UDVCPU,107.103.47.210,,,-,-,-,9,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 PRESSING,Q13UDVCPU,107.103.47.212,,,-,-,-,10,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 WASHING,Q13UDVCPU,107.103.47.213,,,-,-,-,11,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 TUBING,Q13UDVCPU,107.103.47.214,,,-,-,-,12,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 INSP & MARKING,Q13UDVCPU,107.103.47.190,,,-,-,-,13,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
CYLINDRICAL ASSEMBLY,CYLINDRICAL ASSEMBLY #8,CYLINDRICAL #8 ATC,Q13UDVCPU,107.103.47.216,,,-,-,-,14,\\107.103.31.222\maintenance\@CYL PLC BACKUP@\CYLINDRICAL LINE
